n,fcfs,final,sjf
1000, 4500, 5167, 161375
2000, 8875, 10000, 470084
3000, 12959, 14250, 714709
4000, 15166, 22333, 822542
5000, 17084, 19833, 1093792
6000, 16792, 18875, 1105792
7000, 16667, 18667, 1125041
8000, 19000, 18375, 1131541
9000, 18500, 19125, 1135834
10000, 18375, 21041, 1319042
11000, 18667, 19458, 1305916
12000, 18875, 19916, 1418458
13000, 19375, 20209, 1505625
14000, 19000, 20791, 1563000
15000, 19667, 21542, 1651167
16000, 20208, 21333, 1724250
17000, 20542, 21917, 1774708
18000, 20708, 22500, 1662709
19000, 39417, 23666, 1815834
20000, 23125, 25041, 1995584
21000, 24583, 25917, 2135666
22000, 25250, 27167, 2224959
23000, 26458, 28291, 2467458
24000, 27750, 29542, 2486583
25000, 28667, 30875, 2700208
26000, 29833, 31958, 2854000
27000, 31125, 33125, 3142083
28000, 32125, 34333, 3293375
29000, 35000, 35250, 3342166
30000, 34500, 36667, 3448084
31000, 44834, 37708, 3575583
32000, 36792, 38958, 3890667
33000, 39292, 40125, 3882208
34000, 52250, 41542, 3939542
35000, 40417, 42584, 4216291
36000, 41125, 57375, 4239583
37000, 42458, 51083, 4212375
38000, 43458, 63084, 4056000
39000, 44917, 47542, 4151292
40000, 46583, 48583, 4355667
41000, 46958, 49708, 4420375
42000, 48042, 51083, 4805792
43000, 49417, 52042, 4955583
44000, 50541, 53375, 4993708
45000, 52125, 54625, 5157542
46000, 59583, 56625, 5845208
47000, 56750, 57500, 6268791
48000, 56334, 58666, 6211875
49000, 60250, 59333, 6857584
50000, 70041, 62291, 6906542
51000, 60708, 63875, 6828542
52000, 66250, 62875, 7018083
53000, 63375, 65791, 7601000
54000, 63459, 65166, 7020417
55000, 67167, 68083, 7087625
56000, 68709, 69500, 7501500
57000, 67583, 70875, 7338834
58000, 67625, 73041, 7357042
59000, 71166, 71292, 8195958
60000, 69250, 97916, 8012833
61000, 71125, 90333, 7832209
62000, 72375, 74125, 8525208
63000, 72375, 76250, 8236208
64000, 84000, 76625, 8271041
65000, 94375, 77709, 8489459
66000, 75792, 79125, 8679708
67000, 77000, 80375, 9168166
68000, 79375, 81833, 10172708
69000, 84667, 94375, 10576625
70000, 87333, 84500, 9664917
71000, 99458, 88584, 9586125
72000, 85292, 88958, 10333166
73000, 85333, 87084, 10500208
74000, 86333, 92542, 10352500
75000, 90583, 90125, 10903000
76000, 92958, 91084, 10233917
77000, 88375, 93209, 10550417
78000, 91375, 94459, 10928334
79000, 91583, 94958, 10863541
80000, 99458, 100292, 10777833
81000, 93292, 96833, 10665042
82000, 94709, 113917, 10820792
83000, 129875, 99500, 10608583
84000, 125375, 100834, 10777959
85000, 101584, 104500, 11332375
86000, 99709, 102916, 11082458
87000, 103125, 105500, 11111750
88000, 108708, 105000, 11884291
89000, 104667, 109333, 12464000
90000, 106250, 107167, 12538041
91000, 104625, 109000, 11824500
92000, 113958, 112708, 12113958
93000, 106500, 111084, 13261292
94000, 108750, 112000, 12910625
95000, 112042, 116459, 13505750
96000, 109875, 114417, 11941584
97000, 127958, 115167, 11539375
98000, 115375, 119500, 11841667
99000, 113375, 121458, 12167292
100000, 118125, 118792, 12271250
